date,brand,Product Line,size,presentation,sales
9/10/2021,Producto 12,IPA,6,Bottle,$673.90 
9/10/2021,Producto 10,lager,12,Bottle,"$1,457.97 "
9/10/2021,Producto 16,Variety,6,Can,$199.78 
10/10/2021,Producto 13,IPA,12,Bottle,$83.94 
10/10/2021,Producto 3,lager,1,Bottle,$158.47 
10/10/2021,Producto 8,Light,6,Bottle,"$1,927.41 "
10/10/2021,Producto 9,Main,12,Bottle,"$4,019.61 "
10/10/2021,Producto 2,Main,1,Can,$353.85 
10/10/2021,Producto 10,lager,12,Bottle,$923.35 
10/10/2021,Producto 4,IPA,18,Can,$439.78 
10/10/2021,Producto 12,IPA,6,Bottle,$610.37 
10/10/2021,Producto 5,Variety,12,Bottle,"$2,906.02 "
10/10/2021,Producto 16,Variety,6,Can,$190.79 
10/10/2021,Producto 15,Main,1,can,$485.63 
10/10/2021,Producto 14,lager,6,Bottle,"$2,812.48 "
10/10/2021,Producto 6,Ale,6,Bottle,"$3,909.70 "
10/10/2021,Producto 7,Main,12,Can,"$1,103.83 "
10/10/2021,Producto 1,Light,12,Can,$151.91 
10/10/2021,Producto 17,Variety,12,Can,$991.32 
10/10/2021,Producto 19,lager,1,Can,$15.99 
10/10/2021,Producto 18,Variety,6,Bottle,$861.05 
10/10/2021,Producto 11,lager,18,Can,$179.91 
11/10/2021,Producto 13,IPA,12,Bottle,$94.94 
11/10/2021,Producto 15,Main,1,can,$164.89 
11/10/2021,Producto 6,Ale,6,Bottle,"$2,192.87 "
11/10/2021,Producto 19,lager,1,Can,$15.99 
11/10/2021,Producto 7,Main,12,Can,$584.64 
11/10/2021,Producto 16,Variety,6,Can,$155.83 
11/10/2021,Producto 8,Light,6,Bottle,"$1,008.42 "
11/10/2021,Producto 3,lager,1,Bottle,$125.58 
11/10/2021,Producto 5,Variety,12,Bottle,"$1,795.78 "
11/10/2021,Producto 1,Light,12,Can,$63.96 
11/10/2021,Producto 10,lager,12,Bottle,$587.59 
11/10/2021,Producto 14,lager,6,Bottle,"$1,581.25 "
11/10/2021,Producto 12,IPA,6,Bottle,$464.52 
11/10/2021,Producto 4,IPA,18,Can,$239.88 
11/10/2021,Producto 17,Variety,12,Can,$492.66 
11/10/2021,Producto 18,Variety,6,Bottle,$525.93 
11/10/2021,Producto 2,Main,1,Can,$293.04 
11/10/2021,Producto 9,Main,12,Bottle,"$2,173.53 "
11/10/2021,Producto 11,lager,18,Can,$39.98 
12/10/2021,Producto 15,Main,1,can,$128.41 
12/10/2021,Producto 3,lager,1,Bottle,$137.54 
12/10/2021,Producto 1,Light,12,Can,$63.96 
12/10/2021,Producto 6,Ale,6,Bottle,"$2,127.29 "
12/10/2021,Producto 5,Variety,12,Bottle,"$1,607.50 "
12/10/2021,Producto 11,lager,18,Can,$239.88 
12/10/2021,Producto 8,Light,6,Bottle,$892.03 
12/10/2021,Producto 16,Variety,6,Can,$98.89 
12/10/2021,Producto 18,Variety,6,Bottle,$595.94 
12/10/2021,Producto 17,Variety,12,Can,$565.62 
12/10/2021,Producto 4,IPA,18,Can,$139.93 
12/10/2021,Producto 10,lager,12,Bottle,$638.55 
12/10/2021,Producto 9,Main,12,Bottle,"$2,118.58 "
12/10/2021,Producto 7,Main,12,Can,"$1,034.36 "
12/10/2021,Producto 13,IPA,12,Bottle,$115.92 
12/10/2021,Producto 12,IPA,6,Bottle,$501.98 
12/10/2021,Producto 2,Main,1,Can,$200.37 
12/10/2021,Producto 14,lager,6,Bottle,"$1,597.76 "
13/10/2021,Producto 9,Main,12,Bottle,"$1,795.84 "
13/10/2021,Producto 14,lager,6,Bottle,"$1,531.14 "
13/10/2021,Producto 4,IPA,18,Can,$299.85 
13/10/2021,Producto 17,Variety,12,Can,$621.22 
13/10/2021,Producto 16,Variety,6,Can,$193.29 
13/10/2021,Producto 7,Main,12,Can,$797.51 
13/10/2021,Producto 6,Ale,6,Bottle,"$2,560.27 "
13/10/2021,Producto 10,lager,12,Bottle,$513.18 
13/10/2021,Producto 11,lager,18,Can,$139.93 
13/10/2021,Producto 2,Main,1,Can,$278.09 
13/10/2021,Producto 18,Variety,6,Bottle,$660.30 
13/10/2021,Producto 5,Variety,12,Bottle,"$1,964.05 "
13/10/2021,Producto 13,IPA,12,Bottle,$76.95 
13/10/2021,Producto 3,lager,1,Bottle,$155.48 
13/10/2021,Producto 8,Light,6,Bottle,"$1,169.24 "
13/10/2021,Producto 1,Light,12,Can,$111.93 
13/10/2021,Producto 15,Main,1,can,$210.85 
13/10/2021,Producto 12,IPA,6,Bottle,$482.50 
14/10/2021,Producto 5,Variety,12,Bottle,"$2,282.05 "
14/10/2021,Producto 18,Variety,6,Bottle,$572.89 
14/10/2021,Producto 4,IPA,18,Can,$259.87 
14/10/2021,Producto 3,lager,1,Bottle,$194.35 
14/10/2021,Producto 10,lager,12,Bottle,$657.09 
14/10/2021,Producto 12,IPA,6,Bottle,$469.77 
14/10/2021,Producto 11,lager,18,Can,$339.83 
14/10/2021,Producto 1,Light,12,Can,$95.94 
14/10/2021,Producto 8,Light,6,Bottle,"$1,172.76 "
14/10/2021,Producto 6,Ale,6,Bottle,"$3,350.81 "
14/10/2021,Producto 16,Variety,6,Can,$162.82 
14/10/2021,Producto 17,Variety,12,Can,$735.54 
14/10/2021,Producto 15,Main,1,can,$185.35 
14/10/2021,Producto 14,lager,6,Bottle,"$2,019.29 "
14/10/2021,Producto 2,Main,1,Can,$286.05 
14/10/2021,Producto 9,Main,12,Bottle,"$2,708.26 "
14/10/2021,Producto 13,IPA,12,Bottle,$96.94 
14/10/2021,Producto 7,Main,12,Can,$761.53 
15/10/2021,Producto 1,Light,12,Can,$143.91 
15/10/2021,Producto 11,lager,18,Can,$259.87 
15/10/2021,Producto 16,Variety,6,Can,$211.27 
15/10/2021,Producto 12,IPA,6,Bottle,$863.10 
15/10/2021,Producto 9,Main,12,Bottle,"$4,563.08 "
15/10/2021,Producto 4,IPA,18,Can,$359.82 
15/10/2021,Producto 10,lager,12,Bottle,"$1,212.74 "
15/10/2021,Producto 17,Variety,12,Can,"$1,602.00 "
15/10/2021,Producto 14,lager,6,Bottle,"$2,938.42 "
15/10/2021,Producto 8,Light,6,Bottle,"$1,887.60 "
15/10/2021,Producto 2,Main,1,Can,$409.65 
15/10/2021,Producto 13,IPA,12,Bottle,$192.88 
15/10/2021,Producto 18,Variety,6,Bottle,"$1,169.23 "
15/10/2021,Producto 7,Main,12,Can,"$1,504.57 "
15/10/2021,Producto 6,Ale,6,Bottle,"$4,719.45 "
15/10/2021,Producto 3,lager,1,Bottle,$182.39 
15/10/2021,Producto 15,Main,1,can,$409.73 
15/10/2021,Producto 5,Variety,12,Bottle,"$3,731.12 "
16/10/2021,Producto 4,IPA,18,Can,$579.71 
16/10/2021,Producto 1,Light,12,Can,$351.78 
16/10/2021,Producto 5,Variety,12,Bottle,"$4,459.67 "
16/10/2021,Producto 6,Ale,6,Bottle,"$5,325.40 "
16/10/2021,Producto 13,IPA,12,Bottle,$112.93 
16/10/2021,Producto 10,lager,12,Bottle,"$1,260.21 "
16/10/2021,Producto 2,Main,1,Can,$422.60 
16/10/2021,Producto 16,Variety,6,Can,$281.69 
16/10/2021,Producto 17,Variety,12,Can,"$1,535.04 "
16/10/2021,Producto 15,Main,1,can,$299.77 
16/10/2021,Producto 7,Main,12,Can,"$1,425.13 "
16/10/2021,Producto 11,lager,18,Can,$379.81 
16/10/2021,Producto 8,Light,6,Bottle,"$2,213.66 "
16/10/2021,Producto 9,Main,12,Bottle,"$4,928.86 "
16/10/2021,Producto 3,lager,1,Bottle,$206.31 
16/10/2021,Producto 18,Variety,6,Bottle,"$1,207.16 "
16/10/2021,Producto 12,IPA,6,Bottle,$694.28 
16/10/2021,Producto 14,lager,6,Bottle,"$3,635.08 "
17/10/2021,Producto 13,IPA,12,Bottle,$79.95 
17/10/2021,Producto 18,Variety,6,Bottle,$926.53 
17/10/2021,Producto 15,Main,1,can,$136.91 
17/10/2021,Producto 1,Light,12,Can,$239.85 
17/10/2021,Producto 10,lager,12,Bottle,$703.06 
17/10/2021,Producto 7,Main,12,Can,"$1,191.27 "
17/10/2021,Producto 8,Light,6,Bottle,"$1,872.60 "
17/10/2021,Producto 5,Variety,12,Bottle,"$2,867.67 "
17/10/2021,Producto 4,IPA,18,Can,$419.79 
17/10/2021,Producto 3,lager,1,Bottle,$209.30 
17/10/2021,Producto 19,lager,1,Can,$15.99 
17/10/2021,Producto 6,Ale,6,Bottle,"$3,730.82 "
17/10/2021,Producto 16,Variety,6,Can,$242.73 
17/10/2021,Producto 2,Main,1,Can,$329.93 
17/10/2021,Producto 9,Main,12,Bottle,"$3,180.98 "
17/10/2021,Producto 14,lager,6,Bottle,"$2,756.02 "
17/10/2021,Producto 17,Variety,12,Can,$959.40 
17/10/2021,Producto 12,IPA,6,Bottle,$690.28 
17/10/2021,Producto 11,lager,18,Can,$219.89 
18/10/2021,Producto 13,IPA,12,Bottle,$121.92 
18/10/2021,Producto 11,lager,18,Can,$39.98 
18/10/2021,Producto 10,lager,12,Bottle,$511.68 
18/10/2021,Producto 5,Variety,12,Bottle,"$1,676.93 "
18/10/2021,Producto 7,Main,12,Can,$540.67 
18/10/2021,Producto 8,Light,6,Bottle,$954.98 
18/10/2021,Producto 6,Ale,6,Bottle,"$2,117.85 "
18/10/2021,Producto 9,Main,12,Bottle,"$2,193.61 "
18/10/2021,Producto 2,Main,1,Can,$180.43 
18/10/2021,Producto 18,Variety,6,Bottle,$605.36 
18/10/2021,Producto 1,Light,12,Can,$127.92 
18/10/2021,Producto 3,lager,1,Bottle,$131.56 
18/10/2021,Producto 14,lager,6,Bottle,"$1,508.38 "
18/10/2021,Producto 4,IPA,18,Can,$159.92 
18/10/2021,Producto 16,Variety,6,Can,$107.88 
18/10/2021,Producto 17,Variety,12,Can,$403.75 
18/10/2021,Producto 12,IPA,6,Bottle,$423.56 
18/10/2021,Producto 15,Main,1,can,$208.86 
19/10/2021,Producto 14,lager,6,Bottle,"$3,432.26 "
19/10/2021,Producto 8,Light,6,Bottle,"$2,128.72 "
19/10/2021,Producto 10,lager,12,Bottle,"$1,051.34 "
19/10/2021,Producto 4,IPA,18,Can,$279.86 
19/10/2021,Producto 5,Variety,12,Bottle,"$3,363.85 "
19/10/2021,Producto 3,lager,1,Bottle,$251.16 
19/10/2021,Producto 1,Light,12,Can,$159.90 
19/10/2021,Producto 11,lager,18,Can,$279.86 
19/10/2021,Producto 7,Main,12,Can,"$1,383.14 "
19/10/2021,Producto 17,Variety,12,Can,"$1,023.36 "
19/10/2021,Producto 12,IPA,6,Bottle,$823.15 
19/10/2021,Producto 18,Variety,6,Bottle,"$1,247.64 "
19/10/2021,Producto 6,Ale,6,Bottle,"$4,197.66 "
19/10/2021,Producto 16,Variety,6,Can,$308.66 
19/10/2021,Producto 9,Main,12,Bottle,"$3,823.56 "
19/10/2021,Producto 13,IPA,12,Bottle,$155.90 
19/10/2021,Producto 2,Main,1,Can,$466.52 
19/10/2021,Producto 15,Main,1,can,$209.85 
20/10/2021,Producto 17,Variety,12,Can,"$1,149.28 "
20/10/2021,Producto 11,lager,18,Can,$319.84 
20/10/2021,Producto 16,Variety,6,Can,$269.70 
20/10/2021,Producto 2,Main,1,Can,$430.56 
20/10/2021,Producto 10,lager,12,Bottle,"$1,085.32 "
20/10/2021,Producto 13,IPA,12,Bottle,$217.86 
20/10/2021,Producto 8,Light,6,Bottle,"$2,416.42 "
20/10/2021,Producto 9,Main,12,Bottle,"$4,065.38 "
20/10/2021,Producto 12,IPA,6,Bottle,$952.52 
20/10/2021,Producto 14,lager,6,Bottle,"$3,713.70 "
20/10/2021,Producto 1,Light,12,Can,$287.82 
20/10/2021,Producto 4,IPA,18,Can,$719.64 
20/10/2021,Producto 15,Main,1,can,$190.87 
20/10/2021,Producto 5,Variety,12,Bottle,"$3,564.72 "
20/10/2021,Producto 6,Ale,6,Bottle,"$5,234.58 "
20/10/2021,Producto 3,lager,1,Bottle,$209.30 
20/10/2021,Producto 7,Main,12,Can,"$1,471.10 "
20/10/2021,Producto 18,Variety,6,Bottle,"$1,122.82 "
21/10/2021,Producto 7,Main,12,Can,"$2,206.66 "
21/10/2021,Producto 9,Main,12,Bottle,"$4,720.58 "
21/10/2021,Producto 10,lager,12,Bottle,"$1,497.06 "
21/10/2021,Producto 3,lager,1,Bottle,$281.06 
21/10/2021,Producto 4,IPA,18,Can,$679.66 
21/10/2021,Producto 16,Variety,6,Can,$285.68 
21/10/2021,Producto 14,lager,6,Bottle,"$4,410.42 "
21/10/2021,Producto 8,Light,6,Bottle,"$2,676.18 "
21/10/2021,Producto 19,lager,1,Can,$31.98 
21/10/2021,Producto 5,Variety,12,Bottle,"$4,667.02 "
21/10/2021,Producto 12,IPA,6,Bottle,"$1,012.14 "
21/10/2021,Producto 15,Main,1,can,$151.38 
21/10/2021,Producto 1,Light,12,Can,$319.80 
21/10/2021,Producto 17,Variety,12,Can,"$1,379.14 "
21/10/2021,Producto 6,Ale,6,Bottle,"$6,148.50 "
21/10/2021,Producto 11,lager,18,Can,$319.84 
21/10/2021,Producto 13,IPA,12,Bottle,$31.98 
21/10/2021,Producto 2,Main,1,Can,$458.52 
21/10/2021,Producto 18,Variety,6,Bottle,"$1,704.18 "
22/10/2021,Producto 2,Main,1,Can,$564.18 
22/10/2021,Producto 5,Variety,12,Bottle,"$6,924.56 "
22/10/2021,Producto 4,IPA,18,Can,"$1,079.46 "
22/10/2021,Producto 1,Light,12,Can,$287.82 
22/10/2021,Producto 16,Variety,6,Can,$485.46 
22/10/2021,Producto 3,lager,1,Bottle,$352.82 
22/10/2021,Producto 17,Variety,12,Can,"$2,492.44 "
22/10/2021,Producto 10,lager,12,Bottle,"$1,724.92 "
22/10/2021,Producto 8,Light,6,Bottle,"$3,447.70 "
22/10/2021,Producto 6,Ale,6,Bottle,"$9,485.08 "
22/10/2021,Producto 13,IPA,12,Bottle,$289.82 
22/10/2021,Producto 15,Main,1,can,$474.20 
22/10/2021,Producto 18,Variety,6,Bottle,"$1,969.90 "
22/10/2021,Producto 7,Main,12,Can,"$2,362.54 "
22/10/2021,Producto 14,lager,6,Bottle,"$6,002.54 "
22/10/2021,Producto 9,Main,12,Bottle,"$8,858.98 "
22/10/2021,Producto 12,IPA,6,Bottle,"$1,454.48 "
22/10/2021,Producto 11,lager,18,Can,$439.78 
23/10/2021,Producto 5,Variety,12,Bottle,"$8,743.44 "
23/10/2021,Producto 9,Main,12,Bottle,"$9,471.96 "
23/10/2021,Producto 8,Light,6,Bottle,"$4,519.25 "
23/10/2021,Producto 3,lager,1,Bottle,$304.98 
23/10/2021,Producto 4,IPA,18,Can,"$1,079.46 "
23/10/2021,Producto 10,lager,12,Bottle,"$2,258.58 "
23/10/2021,Producto 15,Main,1,can,$545.64 
23/10/2021,Producto 12,IPA,6,Bottle,"$1,525.42 "
23/10/2021,Producto 14,lager,6,Bottle,"$7,168.50 "
23/10/2021,Producto 6,Ale,6,Bottle,"$10,912.12 "
23/10/2021,Producto 18,Variety,6,Bottle,"$2,363.43 "
23/10/2021,Producto 13,IPA,12,Bottle,$487.70 
23/10/2021,Producto 2,Main,1,Can,$857.24 
23/10/2021,Producto 7,Main,12,Can,"$3,337.98 "
23/10/2021,Producto 11,lager,18,Can,$359.82 
23/10/2021,Producto 16,Variety,6,Can,$519.42 
23/10/2021,Producto 1,Light,12,Can,$479.70 
23/10/2021,Producto 17,Variety,12,Can,"$3,108.06 "
24/10/2021,Producto 15,Main,1,can,$343.74 
24/10/2021,Producto 16,Variety,6,Can,$361.59 
24/10/2021,Producto 18,Variety,6,Bottle,"$1,557.67 "
24/10/2021,Producto 8,Light,6,Bottle,"$3,159.66 "
24/10/2021,Producto 12,IPA,6,Bottle,"$1,009.44 "
24/10/2021,Producto 9,Main,12,Bottle,"$5,122.73 "
24/10/2021,Producto 11,lager,18,Can,$239.88 
24/10/2021,Producto 2,Main,1,Can,$606.04 
24/10/2021,Producto 6,Ale,6,Bottle,"$6,436.43 "
24/10/2021,Producto 17,Variety,12,Can,"$1,407.12 "
24/10/2021,Producto 10,lager,12,Bottle,"$1,849.84 "
24/10/2021,Producto 13,IPA,12,Bottle,$195.88 
24/10/2021,Producto 1,Light,12,Can,$239.85 
24/10/2021,Producto 3,lager,1,Bottle,$251.16 
24/10/2021,Producto 7,Main,12,Can,"$1,910.85 "
24/10/2021,Producto 4,IPA,18,Can,$439.78 
24/10/2021,Producto 14,lager,6,Bottle,"$4,450.66 "
24/10/2021,Producto 5,Variety,12,Bottle,"$5,157.71 "
25/10/2021,Producto 10,lager,12,Bottle,$723.54 
25/10/2021,Producto 9,Main,12,Bottle,"$3,540.34 "
25/10/2021,Producto 2,Main,1,Can,$413.67 
25/10/2021,Producto 13,IPA,12,Bottle,$157.90 
25/10/2021,Producto 3,lager,1,Bottle,$233.22 
25/10/2021,Producto 6,Ale,6,Bottle,"$4,345.02 "
25/10/2021,Producto 16,Variety,6,Can,$269.70 
25/10/2021,Producto 1,Light,12,Can,$127.92 
25/10/2021,Producto 12,IPA,6,Bottle,$837.12 
25/10/2021,Producto 18,Variety,6,Bottle,$974.96 
25/10/2021,Producto 5,Variety,12,Bottle,"$3,333.84 "
25/10/2021,Producto 8,Light,6,Bottle,"$1,655.26 "
25/10/2021,Producto 17,Variety,12,Can,$837.48 
25/10/2021,Producto 15,Main,1,can,$166.36 
25/10/2021,Producto 7,Main,12,Can,"$1,209.26 "
25/10/2021,Producto 11,lager,18,Can,$79.96 
25/10/2021,Producto 4,IPA,18,Can,$479.76 
25/10/2021,Producto 14,lager,6,Bottle,"$3,232.50 "
26/10/2021,Producto 9,Main,12,Bottle,"$3,954.47 "
26/10/2021,Producto 11,lager,18,Can,$159.92 
26/10/2021,Producto 13,IPA,12,Bottle,$31.98 
26/10/2021,Producto 8,Light,6,Bottle,"$1,858.98 "
26/10/2021,Producto 15,Main,1,can,$112.91 
26/10/2021,Producto 7,Main,12,Can,"$1,219.24 "
26/10/2021,Producto 5,Variety,12,Bottle,"$2,671.30 "
26/10/2021,Producto 3,lager,1,Bottle,$233.22 
26/10/2021,Producto 4,IPA,18,Can,$599.70 
26/10/2021,Producto 1,Light,12,Can,$351.78 
26/10/2021,Producto 16,Variety,6,Can,$271.70 
26/10/2021,Producto 2,Main,1,Can,$434.56 
26/10/2021,Producto 10,lager,12,Bottle,$823.48 
26/10/2021,Producto 6,Ale,6,Bottle,"$4,702.71 "
26/10/2021,Producto 14,lager,6,Bottle,"$3,172.03 "
26/10/2021,Producto 12,IPA,6,Bottle,$745.74 
26/10/2021,Producto 18,Variety,6,Bottle,"$1,419.46 "
26/10/2021,Producto 17,Variety,12,Can,"$1,157.28 "
27/10/2021,Producto 4,IPA,18,Can,$139.93 
27/10/2021,Producto 6,Ale,6,Bottle,"$2,291.96 "
27/10/2021,Producto 14,lager,6,Bottle,"$1,634.23 "
27/10/2021,Producto 17,Variety,12,Can,$607.62 
27/10/2021,Producto 7,Main,12,Can,$803.50 
27/10/2021,Producto 10,lager,12,Bottle,$670.57 
27/10/2021,Producto 9,Main,12,Bottle,"$2,141.60 "
27/10/2021,Producto 2,Main,1,Can,$321.95 
27/10/2021,Producto 5,Variety,12,Bottle,"$1,884.78 "
27/10/2021,Producto 12,IPA,6,Bottle,$387.35 
27/10/2021,Producto 3,lager,1,Bottle,$113.62 
27/10/2021,Producto 15,Main,1,can,$248.35 
27/10/2021,Producto 8,Light,6,Bottle,"$1,119.18 "
27/10/2021,Producto 1,Light,12,Can,$175.89 
27/10/2021,Producto 16,Variety,6,Can,$203.77 
27/10/2021,Producto 13,IPA,12,Bottle,$94.94 
27/10/2021,Producto 11,lager,18,Can,$259.87 
27/10/2021,Producto 18,Variety,6,Bottle,$659.80 
28/10/2021,Producto 12,IPA,6,Bottle,"$1,082.39 "
28/10/2021,Producto 8,Light,6,Bottle,"$2,506.34 "
28/10/2021,Producto 7,Main,12,Can,"$2,214.66 "
28/10/2021,Producto 4,IPA,18,Can,$719.64 
28/10/2021,Producto 13,IPA,12,Bottle,$257.84 
28/10/2021,Producto 5,Variety,12,Bottle,"$5,132.66 "
28/10/2021,Producto 14,lager,6,Bottle,"$4,327.34 "
28/10/2021,Producto 17,Variety,12,Can,"$1,199.25 "
28/10/2021,Producto 16,Variety,6,Can,$305.66 
28/10/2021,Producto 1,Light,12,Can,$319.80 
28/10/2021,Producto 6,Ale,6,Bottle,"$6,205.18 "
28/10/2021,Producto 11,lager,18,Can,$359.82 
28/10/2021,Producto 10,lager,12,Bottle,"$1,544.99 "
28/10/2021,Producto 9,Main,12,Bottle,"$5,992.61 "
28/10/2021,Producto 3,lager,1,Bottle,$319.93 
28/10/2021,Producto 2,Main,1,Can,$539.21 
28/10/2021,Producto 18,Variety,6,Bottle,"$1,690.20 "
28/10/2021,Producto 15,Main,1,can,$168.88 
29/10/2021,Producto 7,Main,12,Can,"$1,823.36 "
29/10/2021,Producto 15,Main,1,can,$312.79 
29/10/2021,Producto 13,IPA,12,Bottle,$139.91 
29/10/2021,Producto 4,IPA,18,Can,$479.76 
29/10/2021,Producto 9,Main,12,Bottle,"$4,870.81 "
29/10/2021,Producto 5,Variety,12,Bottle,"$4,132.32 "
29/10/2021,Producto 10,lager,12,Bottle,"$1,242.20 "
29/10/2021,Producto 16,Variety,6,Can,$300.67 
29/10/2021,Producto 11,lager,18,Can,$199.90 
29/10/2021,Producto 17,Variety,12,Can,"$1,343.16 "
