,date,brand,sales,Campaign,date_id
82,2021-08-10,Producto 5,3590.85,Before,5
83,2021-08-10,Producto 2,366.79,Before,5
84,2021-08-10,Producto 9,4727.67,Before,5
85,2021-08-10,Producto 1,271.83,Before,5
86,2021-08-10,Producto 15,367.76,Before,5
87,2021-08-10,Producto 8,1941.42,Before,5
88,2021-08-10,Producto 4,559.72,Before,5
89,2021-08-10,Producto 12,664.31,Before,5
90,2021-09-10,Producto 4,444.78,Before,6
91,2021-09-10,Producto 14,3442.61,Before,6
92,2021-09-10,Producto 2,349.87,Before,6
93,2021-09-10,Producto 13,172.88,Before,6
94,2021-09-10,Producto 17,1413.03,Before,6
95,2021-09-10,Producto 5,4500.52,Before,6
96,2021-09-10,Producto 1,271.83,Before,6
97,2021-09-10,Producto 6,5439.83,Before,6
98,2021-09-10,Producto 3,191.36,Before,6
99,2021-09-10,Producto 11,279.86,Before,6
100,2021-09-10,Producto 7,1413.14,Before,6
101,2021-09-10,Producto 8,2209.12,Before,6
102,2021-09-10,Producto 18,1096.81,Before,6
103,2021-09-10,Producto 9,5519.33,Before,6
104,2021-09-10,Producto 15,514.17,Before,6
105,2021-09-10,Producto 12,673.9,Before,6
106,2021-09-10,Producto 10,1457.97,Before,6
107,2021-09-10,Producto 16,199.78,Before,6
108,2021-10-10,Producto 13,83.94,Before,7
109,2021-10-10,Producto 3,158.47,Before,7
110,2021-10-10,Producto 8,1927.41,Before,7
111,2021-10-10,Producto 9,4019.61,Before,7
112,2021-10-10,Producto 2,353.85,Before,7
113,2021-10-10,Producto 10,923.35,Before,7
114,2021-10-10,Producto 4,439.78,Before,7
115,2021-10-10,Producto 12,610.37,Before,7
116,2021-10-10,Producto 5,2906.02,Before,7
117,2021-10-10,Producto 16,190.79,Before,7
118,2021-10-10,Producto 15,485.63,Before,7
119,2021-10-10,Producto 14,2812.48,Before,7
120,2021-10-10,Producto 6,3909.7,Before,7
121,2021-10-10,Producto 7,1103.83,Before,7
122,2021-10-10,Producto 1,151.91,Before,7
123,2021-10-10,Producto 17,991.32,Before,7
124,2021-10-10,Producto 19,15.99,Before,7
125,2021-10-10,Producto 18,861.05,Before,7
126,2021-10-10,Producto 11,179.91,Before,7
127,2021-11-10,Producto 13,94.94,Before,8
128,2021-11-10,Producto 15,164.89,Before,8
129,2021-11-10,Producto 6,2192.87,Before,8
130,2021-11-10,Producto 19,15.99,Before,8
131,2021-11-10,Producto 7,584.64,Before,8
132,2021-11-10,Producto 16,155.83,Before,8
133,2021-11-10,Producto 8,1008.42,Before,8
134,2021-11-10,Producto 3,125.58,Before,8
135,2021-11-10,Producto 5,1795.78,Before,8
136,2021-11-10,Producto 1,63.96,Before,8
137,2021-11-10,Producto 10,587.59,Before,8
138,2021-11-10,Producto 14,1581.25,Before,8
139,2021-11-10,Producto 12,464.52,Before,8
140,2021-11-10,Producto 4,239.88,Before,8
141,2021-11-10,Producto 17,492.66,Before,8
142,2021-11-10,Producto 18,525.93,Before,8
143,2021-11-10,Producto 2,293.04,Before,8
144,2021-11-10,Producto 9,2173.53,Before,8
145,2021-11-10,Producto 11,39.98,Before,8
146,2021-12-10,Producto 15,128.41,Before,9
147,2021-12-10,Producto 3,137.54,Before,9
148,2021-12-10,Producto 1,63.96,Before,9
149,2021-12-10,Producto 6,2127.29,Before,9
150,2021-12-10,Producto 5,1607.5,Before,9
151,2021-12-10,Producto 11,239.88,Before,9
152,2021-12-10,Producto 8,892.03,Before,9
153,2021-12-10,Producto 16,98.89,Before,9
154,2021-12-10,Producto 18,595.94,Before,9
155,2021-12-10,Producto 17,565.62,Before,9
156,2021-12-10,Producto 4,139.93,Before,9
157,2021-12-10,Producto 10,638.55,Before,9
158,2021-12-10,Producto 9,2118.58,Before,9
159,2021-12-10,Producto 7,1034.36,Before,9
160,2021-12-10,Producto 13,115.92,Before,9
161,2021-12-10,Producto 12,501.98,Before,9
162,2021-12-10,Producto 2,200.37,Before,9
163,2021-12-10,Producto 14,1597.76,Before,9
164,2021-10-13,Producto 9,1795.84,Before,10
165,2021-10-13,Producto 14,1531.14,Before,10
166,2021-10-13,Producto 4,299.85,Before,10
167,2021-10-13,Producto 17,621.22,Before,10
168,2021-10-13,Producto 16,193.29,Before,10
169,2021-10-13,Producto 7,797.51,Before,10
170,2021-10-13,Producto 6,2560.27,Before,10
171,2021-10-13,Producto 10,513.18,Before,10
172,2021-10-13,Producto 11,139.93,Before,10
173,2021-10-13,Producto 2,278.09,Before,10
174,2021-10-13,Producto 18,660.3,Before,10
175,2021-10-13,Producto 5,1964.05,Before,10
176,2021-10-13,Producto 13,76.95,Before,10
177,2021-10-13,Producto 3,155.48,Before,10
178,2021-10-13,Producto 8,1169.24,Before,10
179,2021-10-13,Producto 1,111.93,Before,10
180,2021-10-13,Producto 15,210.85,Before,10
181,2021-10-13,Producto 12,482.5,Before,10
182,2021-10-14,Producto 5,2282.05,Before,11
183,2021-10-14,Producto 18,572.89,Before,11
184,2021-10-14,Producto 4,259.87,Before,11
185,2021-10-14,Producto 3,194.35,Before,11
186,2021-10-14,Producto 10,657.09,Before,11
187,2021-10-14,Producto 12,469.77,Before,11
188,2021-10-14,Producto 11,339.83,Before,11
189,2021-10-14,Producto 1,95.94,Before,11
190,2021-10-14,Producto 8,1172.76,Before,11
191,2021-10-14,Producto 6,3350.81,Before,11
192,2021-10-14,Producto 16,162.82,Before,11
193,2021-10-14,Producto 17,735.54,Before,11
194,2021-10-14,Producto 15,185.35,Before,11
195,2021-10-14,Producto 14,2019.29,Before,11
196,2021-10-14,Producto 2,286.05,Before,11
197,2021-10-14,Producto 9,2708.26,Before,11
198,2021-10-14,Producto 13,96.94,Before,11
199,2021-10-14,Producto 7,761.53,Before,11
200,2021-10-15,Producto 1,143.91,Before,12
201,2021-10-15,Producto 11,259.87,Before,12
202,2021-10-15,Producto 16,211.27,Before,12
203,2021-10-15,Producto 12,863.1,Before,12
204,2021-10-15,Producto 9,4563.08,Before,12
205,2021-10-15,Producto 4,359.82,Before,12
206,2021-10-15,Producto 10,1212.74,Before,12
207,2021-10-15,Producto 17,1602.0,Before,12
208,2021-10-15,Producto 14,2938.42,Before,12
209,2021-10-15,Producto 8,1887.6,Before,12
210,2021-10-15,Producto 2,409.65,Before,12
211,2021-10-15,Producto 13,192.88,Before,12
212,2021-10-15,Producto 18,1169.23,Before,12
213,2021-10-15,Producto 7,1504.57,Before,12
214,2021-10-15,Producto 6,4719.45,Before,12
215,2021-10-15,Producto 3,182.39,Before,12
216,2021-10-15,Producto 15,409.73,Before,12
217,2021-10-15,Producto 5,3731.12,Before,12
218,2021-10-16,Producto 4,579.71,Before,13
219,2021-10-16,Producto 1,351.78,Before,13
220,2021-10-16,Producto 5,4459.67,Before,13
221,2021-10-16,Producto 6,5325.4,Before,13
222,2021-10-16,Producto 13,112.93,Before,13
223,2021-10-16,Producto 10,1260.21,Before,13
224,2021-10-16,Producto 2,422.6,Before,13
225,2021-10-16,Producto 16,281.69,Before,13
226,2021-10-16,Producto 17,1535.04,Before,13
227,2021-10-16,Producto 15,299.77,Before,13
228,2021-10-16,Producto 7,1425.13,Before,13
229,2021-10-16,Producto 11,379.81,Before,13
230,2021-10-16,Producto 8,2213.66,Before,13
231,2021-10-16,Producto 9,4928.86,Before,13
232,2021-10-16,Producto 3,206.31,Before,13
233,2021-10-16,Producto 18,1207.16,Before,13
234,2021-10-16,Producto 12,694.28,Before,13
235,2021-10-16,Producto 14,3635.08,Before,13
236,2021-10-17,Producto 13,79.95,Before,14
237,2021-10-17,Producto 18,926.53,Before,14
238,2021-10-17,Producto 15,136.91,Before,14
239,2021-10-17,Producto 1,239.85,Before,14
240,2021-10-17,Producto 10,703.06,Before,14
241,2021-10-17,Producto 7,1191.27,Before,14
242,2021-10-17,Producto 8,1872.6,Before,14
243,2021-10-17,Producto 5,2867.67,Before,14
244,2021-10-17,Producto 4,419.79,Before,14
245,2021-10-17,Producto 3,209.3,Before,14
246,2021-10-17,Producto 19,15.99,Before,14
247,2021-10-17,Producto 6,3730.82,Before,14
248,2021-10-17,Producto 16,242.73,Before,14
249,2021-10-17,Producto 2,329.93,Before,14
250,2021-10-17,Producto 9,3180.98,Before,14
251,2021-10-17,Producto 14,2756.02,Before,14
252,2021-10-17,Producto 17,959.4,Before,14
253,2021-10-17,Producto 12,690.28,Before,14
254,2021-10-17,Producto 11,219.89,Before,14
255,2021-10-18,Producto 13,121.92,Before,15
256,2021-10-18,Producto 11,39.98,Before,15
257,2021-10-18,Producto 10,511.68,Before,15
258,2021-10-18,Producto 5,1676.93,Before,15
259,2021-10-18,Producto 7,540.67,Before,15
260,2021-10-18,Producto 8,954.98,Before,15
261,2021-10-18,Producto 6,2117.85,Before,15
262,2021-10-18,Producto 9,2193.61,Before,15
263,2021-10-18,Producto 2,180.43,Before,15
264,2021-10-18,Producto 18,605.36,Before,15
265,2021-10-18,Producto 1,127.92,Before,15
266,2021-10-18,Producto 3,131.56,Before,15
267,2021-10-18,Producto 14,1508.38,Before,15
268,2021-10-18,Producto 4,159.92,Before,15
269,2021-10-18,Producto 16,107.88,Before,15
270,2021-10-18,Producto 17,403.75,Before,15
271,2021-10-18,Producto 12,423.56,Before,15
272,2021-10-18,Producto 15,208.86,Before,15
273,2021-10-19,Producto 14,3432.26,Before,16
274,2021-10-19,Producto 8,2128.72,Before,16
275,2021-10-19,Producto 10,1051.34,Before,16
276,2021-10-19,Producto 4,279.86,Before,16
277,2021-10-19,Producto 5,3363.85,Before,16
278,2021-10-19,Producto 3,251.16,Before,16
279,2021-10-19,Producto 1,159.9,Before,16
280,2021-10-19,Producto 11,279.86,Before,16
281,2021-10-19,Producto 7,1383.14,Before,16
282,2021-10-19,Producto 17,1023.36,Before,16
283,2021-10-19,Producto 12,823.15,Before,16
284,2021-10-19,Producto 18,1247.64,Before,16
285,2021-10-19,Producto 6,4197.66,Before,16
286,2021-10-19,Producto 16,308.66,Before,16
287,2021-10-19,Producto 9,3823.56,Before,16
288,2021-10-19,Producto 13,155.9,Before,16
289,2021-10-19,Producto 2,466.52,Before,16
290,2021-10-19,Producto 15,209.85,Before,16
291,2021-10-20,Producto 17,1149.28,Before,17
292,2021-10-20,Producto 11,319.84,Before,17
293,2021-10-20,Producto 16,269.7,Before,17
294,2021-10-20,Producto 2,430.56,Before,17
295,2021-10-20,Producto 10,1085.32,Before,17
296,2021-10-20,Producto 13,217.86,Before,17
297,2021-10-20,Producto 8,2416.42,Before,17
298,2021-10-20,Producto 9,4065.38,Before,17
299,2021-10-20,Producto 12,952.52,Before,17
300,2021-10-20,Producto 14,3713.7,Before,17
301,2021-10-20,Producto 1,287.82,Before,17
302,2021-10-20,Producto 4,719.64,Before,17
303,2021-10-20,Producto 15,190.87,Before,17
304,2021-10-20,Producto 5,3564.72,Before,17
305,2021-10-20,Producto 6,5234.58,Before,17
306,2021-10-20,Producto 3,209.3,Before,17
307,2021-10-20,Producto 7,1471.1,Before,17
308,2021-10-20,Producto 18,1122.82,Before,17
309,2021-10-21,Producto 7,2206.66,Before,18
310,2021-10-21,Producto 9,4720.58,Before,18
311,2021-10-21,Producto 10,1497.06,Before,18
312,2021-10-21,Producto 3,281.06,Before,18
313,2021-10-21,Producto 4,679.66,Before,18
314,2021-10-21,Producto 16,285.68,Before,18
315,2021-10-21,Producto 14,4410.42,Before,18
316,2021-10-21,Producto 8,2676.18,Before,18
317,2021-10-21,Producto 19,31.98,Before,18
318,2021-10-21,Producto 5,4667.02,Before,18
319,2021-10-21,Producto 12,1012.14,Before,18
320,2021-10-21,Producto 15,151.38,Before,18
321,2021-10-21,Producto 1,319.8,Before,18
322,2021-10-21,Producto 17,1379.14,Before,18
323,2021-10-21,Producto 6,6148.5,Before,18
324,2021-10-21,Producto 11,319.84,Before,18
325,2021-10-21,Producto 13,31.98,Before,18
326,2021-10-21,Producto 2,458.52,Before,18
327,2021-10-21,Producto 18,1704.18,Before,18
328,2021-10-22,Producto 2,564.18,Before,19
329,2021-10-22,Producto 5,6924.56,Before,19
330,2021-10-22,Producto 4,1079.46,Before,19
331,2021-10-22,Producto 1,287.82,Before,19
332,2021-10-22,Producto 16,485.46,Before,19
333,2021-10-22,Producto 3,352.82,Before,19
334,2021-10-22,Producto 17,2492.44,Before,19
335,2021-10-22,Producto 10,1724.92,Before,19
336,2021-10-22,Producto 8,3447.7,Before,19
337,2021-10-22,Producto 6,9485.08,Before,19
338,2021-10-22,Producto 13,289.82,Before,19
339,2021-10-22,Producto 15,474.2,Before,19
340,2021-10-22,Producto 18,1969.9,Before,19
341,2021-10-22,Producto 7,2362.54,Before,19
342,2021-10-22,Producto 14,6002.54,Before,19
343,2021-10-22,Producto 9,8858.98,Before,19
344,2021-10-22,Producto 12,1454.48,Before,19
345,2021-10-22,Producto 11,439.78,Before,19
346,2021-10-23,Producto 5,8743.44,Before,20
347,2021-10-23,Producto 9,9471.96,Before,20
348,2021-10-23,Producto 8,4519.25,Before,20
349,2021-10-23,Producto 3,304.98,Before,20
350,2021-10-23,Producto 4,1079.46,Before,20
351,2021-10-23,Producto 10,2258.58,Before,20
352,2021-10-23,Producto 15,545.64,Before,20
353,2021-10-23,Producto 12,1525.42,Before,20
354,2021-10-23,Producto 14,7168.5,Before,20
355,2021-10-23,Producto 6,10912.12,Before,20
356,2021-10-23,Producto 18,2363.43,Before,20
357,2021-10-23,Producto 13,487.7,Before,20
358,2021-10-23,Producto 2,857.24,Before,20
359,2021-10-23,Producto 7,3337.98,Before,20
360,2021-10-23,Producto 11,359.82,Before,20
361,2021-10-23,Producto 16,519.42,Before,20
362,2021-10-23,Producto 1,479.7,Before,20
363,2021-10-23,Producto 17,3108.06,Before,20
364,2021-10-24,Producto 15,343.74,Before,21
365,2021-10-24,Producto 16,361.59,Before,21
366,2021-10-24,Producto 18,1557.67,Before,21
367,2021-10-24,Producto 8,3159.66,Before,21
368,2021-10-24,Producto 12,1009.44,Before,21
369,2021-10-24,Producto 9,5122.73,Before,21
370,2021-10-24,Producto 11,239.88,Before,21
371,2021-10-24,Producto 2,606.04,Before,21
372,2021-10-24,Producto 6,6436.43,Before,21
373,2021-10-24,Producto 17,1407.12,Before,21
374,2021-10-24,Producto 10,1849.84,Before,21
375,2021-10-24,Producto 13,195.88,Before,21
376,2021-10-24,Producto 1,239.85,Before,21
377,2021-10-24,Producto 3,251.16,Before,21
378,2021-10-24,Producto 7,1910.85,Before,21
379,2021-10-24,Producto 4,439.78,Before,21
380,2021-10-24,Producto 14,4450.66,Before,21
381,2021-10-24,Producto 5,5157.71,Before,21
382,2021-10-25,Producto 10,723.54,Before,22
383,2021-10-25,Producto 9,3540.34,Before,22
384,2021-10-25,Producto 2,413.67,Before,22
385,2021-10-25,Producto 13,157.9,Before,22
386,2021-10-25,Producto 3,233.22,Before,22
387,2021-10-25,Producto 6,4345.02,Before,22
388,2021-10-25,Producto 16,269.7,Before,22
389,2021-10-25,Producto 1,127.92,Before,22
390,2021-10-25,Producto 12,837.12,Before,22
391,2021-10-25,Producto 18,974.96,Before,22
392,2021-10-25,Producto 5,3333.84,Before,22
393,2021-10-25,Producto 8,1655.26,Before,22
394,2021-10-25,Producto 17,837.48,Before,22
395,2021-10-25,Producto 15,166.36,Before,22
396,2021-10-25,Producto 7,1209.26,Before,22
397,2021-10-25,Producto 11,79.96,Before,22
398,2021-10-25,Producto 4,479.76,Before,22
399,2021-10-25,Producto 14,3232.5,Before,22
400,2021-10-26,Producto 9,3954.47,Before,23
401,2021-10-26,Producto 11,159.92,Before,23
402,2021-10-26,Producto 13,31.98,Before,23
403,2021-10-26,Producto 8,1858.98,Before,23
404,2021-10-26,Producto 15,112.91,Before,23
405,2021-10-26,Producto 7,1219.24,Before,23
406,2021-10-26,Producto 5,2671.3,Before,23
407,2021-10-26,Producto 3,233.22,Before,23
408,2021-10-26,Producto 4,599.7,Before,23
409,2021-10-26,Producto 1,351.78,Before,23
410,2021-10-26,Producto 16,271.7,Before,23
411,2021-10-26,Producto 2,434.56,Before,23
412,2021-10-26,Producto 10,823.48,Before,23
413,2021-10-26,Producto 6,4702.71,Before,23
414,2021-10-26,Producto 14,3172.03,Before,23
415,2021-10-26,Producto 12,745.74,Before,23
416,2021-10-26,Producto 18,1419.46,Before,23
417,2021-10-26,Producto 17,1157.28,Before,23
418,2021-10-27,Producto 4,139.93,Before,24
419,2021-10-27,Producto 6,2291.96,Before,24
420,2021-10-27,Producto 14,1634.23,Before,24
421,2021-10-27,Producto 17,607.62,Before,24
422,2021-10-27,Producto 7,803.5,Before,24
423,2021-10-27,Producto 10,670.57,Before,24
424,2021-10-27,Producto 9,2141.6,Before,24
425,2021-10-27,Producto 2,321.95,Before,24
426,2021-10-27,Producto 5,1884.78,Before,24
427,2021-10-27,Producto 12,387.35,Before,24
428,2021-10-27,Producto 3,113.62,Before,24
429,2021-10-27,Producto 15,248.35,Before,24
430,2021-10-27,Producto 8,1119.18,Before,24
431,2021-10-27,Producto 1,175.89,Before,24
432,2021-10-27,Producto 16,203.77,Before,24
433,2021-10-27,Producto 13,94.94,Before,24
434,2021-10-27,Producto 11,259.87,Before,24
435,2021-10-27,Producto 18,659.8,Before,24
436,2021-10-28,Producto 12,1082.39,Before,25
437,2021-10-28,Producto 8,2506.34,Before,25
438,2021-10-28,Producto 7,2214.66,Before,25
439,2021-10-28,Producto 4,719.64,Before,25
440,2021-10-28,Producto 13,257.84,Before,25
441,2021-10-28,Producto 5,5132.66,Before,25
442,2021-10-28,Producto 14,4327.34,Before,25
443,2021-10-28,Producto 17,1199.25,Before,25
444,2021-10-28,Producto 16,305.66,Before,25
445,2021-10-28,Producto 1,319.8,Before,25
446,2021-10-28,Producto 6,6205.18,Before,25
447,2021-10-28,Producto 11,359.82,Before,25
448,2021-10-28,Producto 10,1544.99,Before,25
449,2021-10-28,Producto 9,5992.61,Before,25
450,2021-10-28,Producto 3,319.93,Before,25
451,2021-10-28,Producto 2,539.21,Before,25
452,2021-10-28,Producto 18,1690.2,Before,25
453,2021-10-28,Producto 15,168.88,Before,25
454,2021-10-29,Producto 7,1823.36,Before,26
455,2021-10-29,Producto 15,312.79,Before,26
456,2021-10-29,Producto 13,139.91,Before,26
457,2021-10-29,Producto 4,479.76,Before,26
458,2021-10-29,Producto 9,4870.81,Before,26
459,2021-10-29,Producto 5,4132.32,Before,26
460,2021-10-29,Producto 10,1242.2,Before,26
461,2021-10-29,Producto 16,300.67,Before,26
462,2021-10-29,Producto 11,199.9,Before,26
463,2021-10-29,Producto 17,1343.16,Before,26
464,2021-10-29,Producto 6,5020.59,Before,26
465,2021-10-29,Producto 18,1238.86,Before,26
466,2021-10-29,Producto 8,2275.06,Before,26
467,2021-10-29,Producto 1,175.89,Before,26
468,2021-10-29,Producto 14,3018.57,Before,26
469,2021-10-29,Producto 12,592.14,Before,26
470,2021-10-29,Producto 3,197.34,Before,26
471,2021-10-29,Producto 2,426.6,Before,26
472,2021-10-30,Producto 18,1214.21,Before,27
473,2021-10-30,Producto 3,185.38,Before,27
474,2021-10-30,Producto 11,299.85,Before,27
475,2021-10-30,Producto 17,1933.79,Before,27
476,2021-10-30,Producto 4,839.58,Before,27
477,2021-10-30,Producto 6,6485.12,Before,27
478,2021-10-30,Producto 8,2393.95,Before,27
479,2021-10-30,Producto 14,4134.16,Before,27
480,2021-10-30,Producto 13,177.89,Before,27
481,2021-10-30,Producto 5,5799.75,Before,27
482,2021-10-30,Producto 12,818.9,Before,27
483,2021-10-30,Producto 15,613.11,Before,27
484,2021-10-30,Producto 16,328.14,Before,27
485,2021-10-30,Producto 10,1938.77,Before,27
486,2021-10-30,Producto 19,13.99,Before,27
487,2021-10-30,Producto 1,415.74,Before,27
488,2021-10-30,Producto 7,1677.45,Before,27
489,2021-10-30,Producto 2,379.77,Before,27
490,2021-10-30,Producto 9,6525.76,Before,27
491,2021-10-31,Producto 16,332.13,Before,28
492,2021-10-31,Producto 2,270.13,Before,28
493,2021-10-31,Producto 10,1096.29,Before,28
494,2021-10-31,Producto 1,239.85,Before,28
495,2021-10-31,Producto 3,200.33,Before,28
496,2021-10-31,Producto 4,239.88,Before,28
497,2021-10-31,Producto 6,4507.97,Before,28
498,2021-10-31,Producto 18,1217.21,Before,28
499,2021-10-31,Producto 5,4465.62,Before,28
500,2021-10-31,Producto 14,3539.82,Before,28
501,2021-10-31,Producto 17,1263.21,Before,28
502,2021-10-31,Producto 9,4573.02,Before,28
503,2021-10-31,Producto 7,1164.28,Before,28
504,2021-10-31,Producto 13,124.92,Before,28
505,2021-10-31,Producto 15,478.66,Before,28
506,2021-10-31,Producto 8,2085.15,Before,28
507,2021-10-31,Producto 11,219.89,Before,28
508,2021-10-31,Producto 12,698.78,Before,28
509,2021-01-11,Producto 13,77.95,Before,29
510,2021-01-11,Producto 14,1487.2,Before,29
511,2021-01-11,Producto 4,139.93,Before,29
512,2021-01-11,Producto 1,143.91,Before,29
513,2021-01-11,Producto 10,496.68,Before,29
514,2021-01-11,Producto 18,510.46,Before,29
515,2021-01-11,Producto 16,117.87,Before,29
516,2021-01-11,Producto 3,158.47,Before,29
517,2021-01-11,Producto 8,913.53,Before,29
518,2021-01-11,Producto 6,1956.72,Before,29
519,2021-01-11,Producto 7,570.95,Before,29
520,2021-01-11,Producto 2,197.34,Before,29
521,2021-01-11,Producto 5,1269.17,Before,29
522,2021-01-11,Producto 12,358.63,Before,29
523,2021-01-11,Producto 9,1912.71,Before,29
524,2021-01-11,Producto 15,181.88,Before,29
525,2021-01-11,Producto 11,179.91,Before,29
526,2021-01-11,Producto 17,303.81,Before,29
527,2021-02-11,Producto 19,13.99,Before,30
528,2021-02-11,Producto 3,125.58,Before,30
529,2021-02-11,Producto 7,642.09,Before,30
530,2021-02-11,Producto 4,259.87,Before,30
531,2021-02-11,Producto 13,47.97,Before,30
532,2021-02-11,Producto 2,249.2,Before,30
533,2021-02-11,Producto 9,1903.72,Before,30
534,2021-02-11,Producto 16,133.85,Before,30
535,2021-02-11,Producto 6,2040.42,Before,30
536,2021-02-11,Producto 15,207.34,Before,30
537,2021-02-11,Producto 14,1799.37,Before,30
538,2021-02-11,Producto 11,139.93,Before,30
539,2021-02-11,Producto 12,303.44,Before,30
540,2021-02-11,Producto 18,499.46,Before,30
541,2021-02-11,Producto 8,961.25,Before,30
542,2021-02-11,Producto 17,255.84,Before,30
543,2021-02-11,Producto 5,1563.47,Before,30
544,2021-02-11,Producto 10,631.58,Before,30
545,2021-02-11,Producto 1,47.97,Before,30
546,2021-03-11,Producto 15,142.9,Before,31
547,2021-03-11,Producto 14,1779.56,Before,31
548,2021-03-11,Producto 16,151.82,Before,31
549,2021-03-11,Producto 2,206.33,Before,31
550,2021-03-11,Producto 18,476.81,Before,31
551,2021-03-11,Producto 11,159.92,Before,31
552,2021-03-11,Producto 10,1095.19,Before,31
553,2021-03-11,Producto 7,683.59,Before,31
554,2021-03-11,Producto 3,146.51,Before,31
555,2021-03-11,Producto 13,202.85,Before,31
556,2021-03-11,Producto 17,677.54,Before,31
557,2021-03-11,Producto 4,159.92,Before,31
558,2021-03-11,Producto 9,2409.32,Before,31
559,2021-03-11,Producto 5,2401.77,Before,31
560,2021-03-11,Producto 1,107.92,Before,31
561,2021-03-11,Producto 6,2410.42,Before,31
562,2021-03-11,Producto 8,1080.62,Before,31
563,2021-03-11,Producto 12,436.53,Before,31
564,2021-04-11,Producto 14,1887.48,Before,32
565,2021-04-11,Producto 9,2708.43,Before,32
566,2021-04-11,Producto 7,957.93,Before,32
567,2021-04-11,Producto 10,1093.17,Before,32
568,2021-04-11,Producto 18,730.19,Before,32
569,2021-04-11,Producto 5,2590.16,Before,32
570,2021-04-11,Producto 17,784.46,Before,32
571,2021-04-11,Producto 15,233.33,Before,32
